LastIdentificationCache	Gender	NumberOfUnits	LocalityDescription	LocalityDescription_2	CollectionDay	CollectionMonth	CollectionYear	CollectionEndDay	CollectionEndMonth	CollectionEndYear	CollectionTimeSpan	CollectingMethod	EUNIS	Altitude	Value	PlotID	startdate	enddate
Pardosa tenuipes	female	2	BahnhofNord	BahnhofNord_2021_E2.6	20	5	2021	1	6	2021	161	Bodenfalle	E2.6		5		20.05.2021	01.06.2021
Tenuiphantes tenuis	female	1	BahnhofNord	BahnhofNord_2021_E2.6	20	5	2021	1	6	2021	161	Bodenfalle	E2.6		5		20.05.2021	01.06.2021
Xysticus kochi	female	1	BahnhofNord	BahnhofNord_2021_E2.6	20	5	2021	1	6	2021	161	Bodenfalle	E2.6		5		20.05.2021	01.06.2021
Agyneta rurestris	female	1	BahnhofNord	BahnhofNord_2021_E2.6	1	6	2021	17	6	2021	161	Bodenfalle	E2.6		5		01.06.2021	17.06.2021
Drassyllus pusillus	male	1	BahnhofNord	BahnhofNord_2021_E2.6	1	6	2021	17	6	2021	161	Bodenfalle	E2.6		5		01.06.2021	17.06.2021
Drassyllus pusillus	female	1	BahnhofNord	BahnhofNord_2021_E2.6	1	6	2021	17	6	2021	161	Bodenfalle	E2.6		5		01.06.2021	17.06.2021
Drassyllus pusillus	female	1	BahnhofNord	BahnhofNord_2021_E2.6	1	6	2021	17	6	2021	161	Bodenfalle	E2.6		5		01.06.2021	17.06.2021
Drassyllus pusillus	female	1	BahnhofNord	BahnhofNord_2021_E2.6	1	6	2021	17	6	2021	161	Bodenfalle	E2.6		5		01.06.2021	17.06.2021
Erigone atra	male	1	BahnhofNord	BahnhofNord_2021_E2.6	1	6	2021	17	6	2021	161	Bodenfalle	E2.6		5		01.06.2021	17.06.2021
Erigone atra	female	1	BahnhofNord	BahnhofNord_2021_E2.6	1	6	2021	17	6	2021	161	Bodenfalle	E2.6		5		01.06.2021	17.06.2021
Erigone dentipalpis	female	1	BahnhofNord	BahnhofNord_2021_E2.6	1	6	2021	17	6	2021	161	Bodenfalle	E2.6		5		01.06.2021	17.06.2021
Erigone dentipalpis	male	1	BahnhofNord	BahnhofNord_2021_E2.6	1	6	2021	17	6	2021	161	Bodenfalle	E2.6		5		01.06.2021	17.06.2021
Erigone dentipalpis	male	1	BahnhofNord	BahnhofNord_2021_E2.6	1	6	2021	17	6	2021	161	Bodenfalle	E2.6		5		01.06.2021	17.06.2021
Erigone dentipalpis	male	3	BahnhofNord	BahnhofNord_2021_E2.6	1	6	2021	17	6	2021	161	Bodenfalle	E2.6		5		01.06.2021	17.06.2021
Erigone dentipalpis	male	1	BahnhofNord	BahnhofNord_2021_E2.6	1	6	2021	17	6	2021	161	Bodenfalle	E2.6		5		01.06.2021	17.06.2021
Pardosa palustris	female	2	BahnhofNord	BahnhofNord_2021_E2.6	1	6	2021	17	6	2021	161	Bodenfalle	E2.6		5		01.06.2021	17.06.2021
Pardosa palustris	female	1	BahnhofNord	BahnhofNord_2021_E2.6	1	6	2021	17	6	2021	161	Bodenfalle	E2.6		5		01.06.2021	17.06.2021
Pardosa palustris	male	1	BahnhofNord	BahnhofNord_2021_E2.6	1	6	2021	17	6	2021	161	Bodenfalle	E2.6		5		01.06.2021	17.06.2021
Pardosa prativaga	female	1	BahnhofNord	BahnhofNord_2021_E2.6	1	6	2021	17	6	2021	161	Bodenfalle	E2.6		5		01.06.2021	17.06.2021
Pardosa tenuipes	male	1	BahnhofNord	BahnhofNord_2021_E2.6	1	6	2021	17	6	2021	161	Bodenfalle	E2.6		5		01.06.2021	17.06.2021
Pardosa tenuipes	female	2	BahnhofNord	BahnhofNord_2021_E2.6	1	6	2021	17	6	2021	161	Bodenfalle	E2.6		5		01.06.2021	17.06.2021
Porrhomma errans	female	1	BahnhofNord	BahnhofNord_2021_E2.6	1	6	2021	17	6	2021	161	Bodenfalle	E2.6		5		01.06.2021	17.06.2021
Tenuiphantes tenuis	female	1	BahnhofNord	BahnhofNord_2021_E2.6	1	6	2021	17	6	2021	161	Bodenfalle	E2.6		5		01.06.2021	17.06.2021
Tenuiphantes tenuis	male	1	BahnhofNord	BahnhofNord_2021_E2.6	1	6	2021	17	6	2021	161	Bodenfalle	E2.6		5		01.06.2021	17.06.2021
Agyneta rurestris	male	1	BahnhofNord	BahnhofNord_2021_E2.6	17	6	2021	8	7	2021	161	Bodenfalle	E2.6		5		17.06.2021	08.07.2021
Argenna subnigra	male	1	BahnhofNord	BahnhofNord_2021_E2.6	17	6	2021	8	7	2021	161	Bodenfalle	E2.6		5		17.06.2021	08.07.2021
Erigone dentipalpis	male	1	BahnhofNord	BahnhofNord_2021_E2.6	17	6	2021	8	7	2021	161	Bodenfalle	E2.6		5		17.06.2021	08.07.2021
Erigone dentipalpis	male	3	BahnhofNord	BahnhofNord_2021_E2.6	17	6	2021	8	7	2021	161	Bodenfalle	E2.6		5		17.06.2021	08.07.2021
Pelecopsis parallela	female	3	BahnhofNord	BahnhofNord_2021_E2.6	17	6	2021	8	7	2021	161	Bodenfalle	E2.6		5		17.06.2021	08.07.2021
Tenuiphantes tenuis	female	1	BahnhofNord	BahnhofNord_2021_E2.6	17	6	2021	8	7	2021	161	Bodenfalle	E2.6		5		17.06.2021	08.07.2021
Tenuiphantes tenuis	male	1	BahnhofNord	BahnhofNord_2021_E2.6	17	6	2021	8	7	2021	161	Bodenfalle	E2.6		5		17.06.2021	08.07.2021
Zodarion italicum	male	1	BahnhofNord	BahnhofNord_2021_E2.6	17	6	2021	8	7	2021	161	Bodenfalle	E2.6		5		17.06.2021	08.07.2021
Agyneta rurestris	female	1	BahnhofNord	BahnhofNord_2021_E2.6	8	7	2021	21	7	2021	161	Bodenfalle	E2.6		5		08.07.2021	21.07.2021
Erigone atra	male	1	BahnhofNord	BahnhofNord_2021_E2.6	8	7	2021	21	7	2021	161	Bodenfalle	E2.6		5		08.07.2021	21.07.2021
Erigone atra	female	3	BahnhofNord	BahnhofNord_2021_E2.6	8	7	2021	21	7	2021	161	Bodenfalle	E2.6		5		08.07.2021	21.07.2021
Erigone dentipalpis	male	1	BahnhofNord	BahnhofNord_2021_E2.6	8	7	2021	21	7	2021	161	Bodenfalle	E2.6		5		08.07.2021	21.07.2021
Erigone dentipalpis	male	5	BahnhofNord	BahnhofNord_2021_E2.6	8	7	2021	21	7	2021	161	Bodenfalle	E2.6		5		08.07.2021	21.07.2021
Erigone dentipalpis	male	4	BahnhofNord	BahnhofNord_2021_E2.6	8	7	2021	21	7	2021	161	Bodenfalle	E2.6		5		08.07.2021	21.07.2021
Erigone dentipalpis	female	1	BahnhofNord	BahnhofNord_2021_E2.6	8	7	2021	21	7	2021	161	Bodenfalle	E2.6		5		08.07.2021	21.07.2021
Erigone dentipalpis	male	1	BahnhofNord	BahnhofNord_2021_E2.6	8	7	2021	21	7	2021	161	Bodenfalle	E2.6		5		08.07.2021	21.07.2021
Erigone dentipalpis	female	1	BahnhofNord	BahnhofNord_2021_E2.6	8	7	2021	21	7	2021	161	Bodenfalle	E2.6		5		08.07.2021	21.07.2021
Pardosa palustris	female	1	BahnhofNord	BahnhofNord_2021_E2.6	8	7	2021	21	7	2021	161	Bodenfalle	E2.6		5		08.07.2021	21.07.2021
Pelecopsis parallela	female	1	BahnhofNord	BahnhofNord_2021_E2.6	8	7	2021	21	7	2021	161	Bodenfalle	E2.6		5		08.07.2021	21.07.2021
Pelecopsis parallela	male	2	BahnhofNord	BahnhofNord_2021_E2.6	8	7	2021	21	7	2021	161	Bodenfalle	E2.6		5		08.07.2021	21.07.2021
Agyneta rurestris	male	6	BahnhofNord	BahnhofNord_2021_E2.6	21	7	2021	3	8	2021	161	Bodenfalle	E2.6		5		21.07.2021	03.08.2021
Agyneta rurestris	male	4	BahnhofNord	BahnhofNord_2021_E2.6	21	7	2021	3	8	2021	161	Bodenfalle	E2.6		5		21.07.2021	03.08.2021
Agyneta rurestris	female	1	BahnhofNord	BahnhofNord_2021_E2.6	21	7	2021	3	8	2021	161	Bodenfalle	E2.6		5		21.07.2021	03.08.2021
Agyneta rurestris	female	2	BahnhofNord	BahnhofNord_2021_E2.6	21	7	2021	3	8	2021	161	Bodenfalle	E2.6		5		21.07.2021	03.08.2021
Agyneta rurestris	male	1	BahnhofNord	BahnhofNord_2021_E2.6	21	7	2021	3	8	2021	161	Bodenfalle	E2.6		5		21.07.2021	03.08.2021
Agyneta rurestris	male	1	BahnhofNord	BahnhofNord_2021_E2.6	21	7	2021	3	8	2021	161	Bodenfalle	E2.6		5		21.07.2021	03.08.2021
Agyneta rurestris	female	2	BahnhofNord	BahnhofNord_2021_E2.6	21	7	2021	3	8	2021	161	Bodenfalle	E2.6		5		21.07.2021	03.08.2021
Bathyphantes gracilis	male	1	BahnhofNord	BahnhofNord_2021_E2.6	21	7	2021	3	8	2021	161	Bodenfalle	E2.6		5		21.07.2021	03.08.2021
Erigone atra	male	1	BahnhofNord	BahnhofNord_2021_E2.6	21	7	2021	3	8	2021	161	Bodenfalle	E2.6		5		21.07.2021	03.08.2021
Erigone dentipalpis	male	2	BahnhofNord	BahnhofNord_2021_E2.6	21	7	2021	3	8	2021	161	Bodenfalle	E2.6		5		21.07.2021	03.08.2021
Erigone dentipalpis	male	2	BahnhofNord	BahnhofNord_2021_E2.6	21	7	2021	3	8	2021	161	Bodenfalle	E2.6		5		21.07.2021	03.08.2021
Erigone dentipalpis	female	1	BahnhofNord	BahnhofNord_2021_E2.6	21	7	2021	3	8	2021	161	Bodenfalle	E2.6		5		21.07.2021	03.08.2021
Erigone dentipalpis	female	3	BahnhofNord	BahnhofNord_2021_E2.6	21	7	2021	3	8	2021	161	Bodenfalle	E2.6		5		21.07.2021	03.08.2021
Erigone dentipalpis	male	4	BahnhofNord	BahnhofNord_2021_E2.6	21	7	2021	3	8	2021	161	Bodenfalle	E2.6		5		21.07.2021	03.08.2021
Erigone dentipalpis	male	2	BahnhofNord	BahnhofNord_2021_E2.6	21	7	2021	3	8	2021	161	Bodenfalle	E2.6		5		21.07.2021	03.08.2021
Erigone dentipalpis	male	5	BahnhofNord	BahnhofNord_2021_E2.6	21	7	2021	3	8	2021	161	Bodenfalle	E2.6		5		21.07.2021	03.08.2021
Erigone dentipalpis	female	2	BahnhofNord	BahnhofNord_2021_E2.6	21	7	2021	3	8	2021	161	Bodenfalle	E2.6		5		21.07.2021	03.08.2021
Pardosa palustris	female	1	BahnhofNord	BahnhofNord_2021_E2.6	21	7	2021	3	8	2021	161	Bodenfalle	E2.6		5		21.07.2021	03.08.2021
Pardosa palustris	male	2	BahnhofNord	BahnhofNord_2021_E2.6	21	7	2021	3	8	2021	161	Bodenfalle	E2.6		5		21.07.2021	03.08.2021
Pardosa palustris	male	2	BahnhofNord	BahnhofNord_2021_E2.6	21	7	2021	3	8	2021	161	Bodenfalle	E2.6		5		21.07.2021	03.08.2021
Pardosa pullata	female	1	BahnhofNord	BahnhofNord_2021_E2.6	21	7	2021	3	8	2021	161	Bodenfalle	E2.6		5		21.07.2021	03.08.2021
Pelecopsis parallela	male	1	BahnhofNord	BahnhofNord_2021_E2.6	21	7	2021	3	8	2021	161	Bodenfalle	E2.6		5		21.07.2021	03.08.2021
Pelecopsis parallela	female	1	BahnhofNord	BahnhofNord_2021_E2.6	21	7	2021	3	8	2021	161	Bodenfalle	E2.6		5		21.07.2021	03.08.2021
Pelecopsis parallela	female	2	BahnhofNord	BahnhofNord_2021_E2.6	21	7	2021	3	8	2021	161	Bodenfalle	E2.6		5		21.07.2021	03.08.2021
Pelecopsis parallela	female	1	BahnhofNord	BahnhofNord_2021_E2.6	21	7	2021	3	8	2021	161	Bodenfalle	E2.6		5		21.07.2021	03.08.2021
Tenuiphantes tenuis	male	2	BahnhofNord	BahnhofNord_2021_E2.6	21	7	2021	3	8	2021	161	Bodenfalle	E2.6		5		21.07.2021	03.08.2021
Tenuiphantes tenuis	female	1	BahnhofNord	BahnhofNord_2021_E2.6	21	7	2021	3	8	2021	161	Bodenfalle	E2.6		5		21.07.2021	03.08.2021
Agyneta rurestris	female	2	BahnhofNord	BahnhofNord_2021_E2.6	3	8	2021	16	8	2021	161	Bodenfalle	E2.6		5		03.08.2021	16.08.2021
Agyneta rurestris	male	1	BahnhofNord	BahnhofNord_2021_E2.6	3	8	2021	16	8	2021	161	Bodenfalle	E2.6		5		03.08.2021	16.08.2021
Agyneta rurestris	female	3	BahnhofNord	BahnhofNord_2021_E2.6	3	8	2021	16	8	2021	161	Bodenfalle	E2.6		5		03.08.2021	16.08.2021
Agyneta rurestris	male	3	BahnhofNord	BahnhofNord_2021_E2.6	3	8	2021	16	8	2021	161	Bodenfalle	E2.6		5		03.08.2021	16.08.2021
Agyneta rurestris	female	3	BahnhofNord	BahnhofNord_2021_E2.6	3	8	2021	16	8	2021	161	Bodenfalle	E2.6		5		03.08.2021	16.08.2021
Agyneta rurestris	male	1	BahnhofNord	BahnhofNord_2021_E2.6	3	8	2021	16	8	2021	161	Bodenfalle	E2.6		5		03.08.2021	16.08.2021
Erigone atra	male	2	BahnhofNord	BahnhofNord_2021_E2.6	3	8	2021	16	8	2021	161	Bodenfalle	E2.6		5		03.08.2021	16.08.2021
Erigone dentipalpis	male	6	BahnhofNord	BahnhofNord_2021_E2.6	3	8	2021	16	8	2021	161	Bodenfalle	E2.6		5		03.08.2021	16.08.2021
Erigone dentipalpis	male	9	BahnhofNord	BahnhofNord_2021_E2.6	3	8	2021	16	8	2021	161	Bodenfalle	E2.6		5		03.08.2021	16.08.2021
Erigone dentipalpis	male	4	BahnhofNord	BahnhofNord_2021_E2.6	3	8	2021	16	8	2021	161	Bodenfalle	E2.6		5		03.08.2021	16.08.2021
Erigone dentipalpis	female	3	BahnhofNord	BahnhofNord_2021_E2.6	3	8	2021	16	8	2021	161	Bodenfalle	E2.6		5		03.08.2021	16.08.2021
Erigone dentipalpis	male	4	BahnhofNord	BahnhofNord_2021_E2.6	3	8	2021	16	8	2021	161	Bodenfalle	E2.6		5		03.08.2021	16.08.2021
Oedothorax fuscus	female	1	BahnhofNord	BahnhofNord_2021_E2.6	3	8	2021	16	8	2021	161	Bodenfalle	E2.6		5		03.08.2021	16.08.2021
Pardosa palustris	female	3	BahnhofNord	BahnhofNord_2021_E2.6	3	8	2021	16	8	2021	161	Bodenfalle	E2.6		5		03.08.2021	16.08.2021
Pardosa palustris	female	1	BahnhofNord	BahnhofNord_2021_E2.6	3	8	2021	16	8	2021	161	Bodenfalle	E2.6		5		03.08.2021	16.08.2021
Pardosa palustris	female	1	BahnhofNord	BahnhofNord_2021_E2.6	3	8	2021	16	8	2021	161	Bodenfalle	E2.6		5		03.08.2021	16.08.2021
Pardosa tenuipes	female	1	BahnhofNord	BahnhofNord_2021_E2.6	3	8	2021	16	8	2021	161	Bodenfalle	E2.6		5		03.08.2021	16.08.2021
Pelecopsis parallela	male	3	BahnhofNord	BahnhofNord_2021_E2.6	3	8	2021	16	8	2021	161	Bodenfalle	E2.6		5		03.08.2021	16.08.2021
Pelecopsis parallela	female	1	BahnhofNord	BahnhofNord_2021_E2.6	3	8	2021	16	8	2021	161	Bodenfalle	E2.6		5		03.08.2021	16.08.2021
Tenuiphantes tenuis	female	1	BahnhofNord	BahnhofNord_2021_E2.6	3	8	2021	16	8	2021	161	Bodenfalle	E2.6		5		03.08.2021	16.08.2021
Tenuiphantes tenuis	male	1	BahnhofNord	BahnhofNord_2021_E2.6	3	8	2021	16	8	2021	161	Bodenfalle	E2.6		5		03.08.2021	16.08.2021
Erigone atra	female	1	BahnhofNord	BahnhofNord_2021_E2.6	16	8	2021	11	9	2021	161	Bodenfalle	E2.6		5		16.08.2021	11.09.2021
Erigone dentipalpis	male	1	BahnhofNord	BahnhofNord_2021_E2.6	16	8	2021	11	9	2021	161	Bodenfalle	E2.6		5		16.08.2021	11.09.2021
Erigone dentipalpis	male	4	BahnhofNord	BahnhofNord_2021_E2.6	16	8	2021	11	9	2021	161	Bodenfalle	E2.6		5		16.08.2021	11.09.2021
Erigone dentipalpis	female	1	BahnhofNord	BahnhofNord_2021_E2.6	16	8	2021	11	9	2021	161	Bodenfalle	E2.6		5		16.08.2021	11.09.2021
Pardosa palustris	female	2	BahnhofNord	BahnhofNord_2021_E2.6	16	8	2021	11	9	2021	161	Bodenfalle	E2.6		5		16.08.2021	11.09.2021
Tenuiphantes tenuis	male	1	BahnhofNord	BahnhofNord_2021_E2.6	16	8	2021	11	9	2021	161	Bodenfalle	E2.6		5		16.08.2021	11.09.2021
Oedothorax fuscus	female	1	BahnhofNord	BahnhofNord_2021_E2.6	11	9	2021	30	9	2021	161	Bodenfalle	E2.6		5		11.09.2021	30.09.2021
Pardosa palustris	female	1	BahnhofNord	BahnhofNord_2021_E2.6	11	9	2021	30	9	2021	161	Bodenfalle	E2.6		5		11.09.2021	30.09.2021
Drassyllus lutetianus	male	1	Breitbenden_P	Breitbenden_P_2020_E5.1	21	5	2020	6	6	2020	131	Bodenfalle			5		21.05.2020	06.06.2020
Drassyllus pusillus	male	1	Breitbenden_P	Breitbenden_P_2020_E5.1	21	5	2020	6	6	2020	131	Bodenfalle			5		21.05.2020	06.06.2020
Drassyllus pusillus	male	2	Breitbenden_P	Breitbenden_P_2020_E5.1	21	5	2020	6	6	2020	131	Bodenfalle			5		21.05.2020	06.06.2020
Erigone dentipalpis	male	1	Breitbenden_P	Breitbenden_P_2020_E5.1	21	5	2020	6	6	2020	131	Bodenfalle			5		21.05.2020	06.06.2020
Hahnia nava	male	1	Breitbenden_P	Breitbenden_P_2020_E5.1	21	5	2020	6	6	2020	131	Bodenfalle			5		21.05.2020	06.06.2020
Micaria micans	female	1	Breitbenden_P	Breitbenden_P_2020_E5.1	21	5	2020	6	6	2020	131	Bodenfalle			5		21.05.2020	06.06.2020
Micaria micans	male	1	Breitbenden_P	Breitbenden_P_2020_E5.1	21	5	2020	6	6	2020	131	Bodenfalle			5		21.05.2020	06.06.2020
Micaria micans	male	2	Breitbenden_P	Breitbenden_P_2020_E5.1	21	5	2020	6	6	2020	131	Bodenfalle			5		21.05.2020	06.06.2020
Micaria micans	female	1	Breitbenden_P	Breitbenden_P_2020_E5.1	21	5	2020	6	6	2020	131	Bodenfalle			5		21.05.2020	06.06.2020
Pachygnatha degeeri	male	2	Breitbenden_P	Breitbenden_P_2020_E5.1	21	5	2020	6	6	2020	131	Bodenfalle			5		21.05.2020	06.06.2020
Pachygnatha degeeri	male	2	Breitbenden_P	Breitbenden_P_2020_E5.1	21	5	2020	6	6	2020	131	Bodenfalle			5		21.05.2020	06.06.2020
Pachygnatha degeeri	male	1	Breitbenden_P	Breitbenden_P_2020_E5.1	21	5	2020	6	6	2020	131	Bodenfalle			5		21.05.2020	06.06.2020
Pachygnatha degeeri	female	2	Breitbenden_P	Breitbenden_P_2020_E5.1	21	5	2020	6	6	2020	131	Bodenfalle			5		21.05.2020	06.06.2020
Pachygnatha degeeri	male	1	Breitbenden_P	Breitbenden_P_2020_E5.1	21	5	2020	6	6	2020	131	Bodenfalle			5		21.05.2020	06.06.2020
Pardosa palustris	female	1	Breitbenden_P	Breitbenden_P_2020_E5.1	21	5	2020	6	6	2020	131	Bodenfalle			5		21.05.2020	06.06.2020
Pardosa palustris	male	1	Breitbenden_P	Breitbenden_P_2020_E5.1	21	5	2020	6	6	2020	131	Bodenfalle			5		21.05.2020	06.06.2020
Pardosa palustris	male	1	Breitbenden_P	Breitbenden_P_2020_E5.1	21	5	2020	6	6	2020	131	Bodenfalle			5		21.05.2020	06.06.2020
Pardosa prativaga	female	1	Breitbenden_P	Breitbenden_P_2020_E5.1	21	5	2020	6	6	2020	131	Bodenfalle			5		21.05.2020	06.06.2020
Pardosa prativaga	male	11	Breitbenden_P	Breitbenden_P_2020_E5.1	21	5	2020	6	6	2020	131	Bodenfalle			5		21.05.2020	06.06.2020
Pardosa prativaga	female	12	Breitbenden_P	Breitbenden_P_2020_E5.1	21	5	2020	6	6	2020	131	Bodenfalle			5		21.05.2020	06.06.2020
Pardosa prativaga	male	15	Breitbenden_P	Breitbenden_P_2020_E5.1	21	5	2020	6	6	2020	131	Bodenfalle			5		21.05.2020	06.06.2020
Pardosa prativaga	female	3	Breitbenden_P	Breitbenden_P_2020_E5.1	21	5	2020	6	6	2020	131	Bodenfalle			5		21.05.2020	06.06.2020
Pardosa prativaga	male	2	Breitbenden_P	Breitbenden_P_2020_E5.1	21	5	2020	6	6	2020	131	Bodenfalle			5		21.05.2020	06.06.2020
Pardosa prativaga	female	5	Breitbenden_P	Breitbenden_P_2020_E5.1	21	5	2020	6	6	2020	131	Bodenfalle			5		21.05.2020	06.06.2020
Pardosa prativaga	male	6	Breitbenden_P	Breitbenden_P_2020_E5.1	21	5	2020	6	6	2020	131	Bodenfalle			5		21.05.2020	06.06.2020
Pardosa prativaga	male	4	Breitbenden_P	Breitbenden_P_2020_E5.1	21	5	2020	6	6	2020	131	Bodenfalle			5		21.05.2020	06.06.2020
Pardosa prativaga	female	1	Breitbenden_P	Breitbenden_P_2020_E5.1	21	5	2020	6	6	2020	131	Bodenfalle			5		21.05.2020	06.06.2020
Pardosa pullata	male	1	Breitbenden_P	Breitbenden_P_2020_E5.1	21	5	2020	6	6	2020	131	Bodenfalle			5		21.05.2020	06.06.2020
Pardosa pullata	male	1	Breitbenden_P	Breitbenden_P_2020_E5.1	21	5	2020	6	6	2020	131	Bodenfalle			5		21.05.2020	06.06.2020
